# FRONT	BACK
How can you reverse the words in a string with Python? Treat punctuation as part of the words.	my_string.split()[::-1]
How can you convert a list to a string in Python?	''.join(thelist)
Best case time complexity for selection sort?	O(n^2)
Average case time complexity for selection sort?	O(n^2)
Worst case time complexity for selection sort?	O(n^2)
Best case time complexity for insertion sort?	O(n) when data is already sorted or almost sorted.
Average case time complexity for insertion sort?	O(n^2)
Worst case time complexity for insertion sort?	O(n^2)
Worst case time complexity for quicksort?	O(n^2) due to pathological pivot selection.
Average case time complexity for quicksort?	O(n log n)
Best case time complexity for quicksort?	O(n log n)
Best case time complexity for merge sort?	O(n log n)
Worst case time complexity for quicksort?	O(n log n)
Average case time complexity for quicksort?	O(n log n)
What should you do when you have one or more lists that are sorted and you need to combine them into a sorted list?	Merge step of merge sort.
What sort can you use when you have data you want to sort and the comparisons of keys are cheap but moving the data is expensive?	Selection sort guarantees no more than n - 1 swaps.
What kind of sort can you use when the data is guaranteed to have no duplicates and needs to be done in-place?	An unstable, in-place sort like quicksort.
What can you use to merge an unsorted list into an already sorted list?	"If the new list is short, insertion sort would be O(n).
If both lists are long, sort the short list and then do a merge."
How can you sort a list of Employee objects by surname then given_name, case-sensitive?	"sorted_firstnames = sorted(directory, key=lambda emp: emp.given_name.lower())
pprint(sorted(sorted_firstnames, key=lambda emp: emp.surname.lower()))"
How can you sort a list of Employee objects by surname then given_name, but case-insensitive?	"import operator

pprint(sorted(directory, key=operator.attrgetter('surname', 'given_name')))"
What should you know about the cmp argument in sort/sorted?	"In general, the key and reverse conversion processes are much faster than specifying an equivalent cmp function. This is because cmp is called multiple times for each list element while key and reverse touch each element only once. 

The cmp argument was removed in 3.0.

Use functools.cmp_to_key() to convert an old-style cmp function to a key function."
How can you get a stable sort using an unstable sorting algorithm?	"Add a sequence number to the data elements, like adding a new sequence property to the objects to be sorted.

In your comparator, if the compared keys are equal (difference is 0), break ties by returning e1.sequence - e2.sequence"
What is a shortcut for calculating the Hamming distance?	The Hamming distance of two words A and B can be calculated as the Hamming weight of A xor B.
What are green threads?	"- implemented by a virtual machine
- faster but cannot take advantage of multiple cores
- going away due to prevalence of multicore machines"
What is preemptive threading?	The OS swaps threads based on timing or other interrupts.
What is the thread cooperative model?	Requires a thread to take some action (sleep, yield) and let other threads run.
How can an event-driven handler manage a long-running process, like waiting for a network response?	Spawn a thread to call the network resource. Then queue the result once complete so the parent process (or main event thread) can respond and access the data without polling.
What is a monitor?	A monitor is a synchronization construct that allows threads to have both mutual exclusion and the ability to wait (block) for a certain condition to become true. Monitors also have a mechanism for signalling other threads that their condition has been met. A monitor consists of a mutex (lock) object and condition variables. Monitors provide a mechanism for threads to temporarily give up exclusive access in order to wait for some condition to be met, before regaining exclusive access and resuming their task.
